CZ,city_name,State,CZ_label
1,Montgomery,AL,"Montgomery, AL CZ"
2,Mobile,AL,"Mobile, AL CZ"
3,Dothan,AL,"Dothan, AL CZ"
4,Tuscaloosa,AL,"Tuscaloosa, AL CZ"
5,Birmingham,AL,"Birmingham, AL CZ"
6,Carrollton,GA,"Carrollton, GA CZ"
7,Columbus,GA,"Columbus, GA CZ"
8,Gadsden,AL,"Gadsden, AL CZ"
9,Meridian,MS,"Meridian, MS CZ"
10,Huntsville,AL,"Huntsville, AL CZ"
11,Atmore,AL,Atmore-Andalusia CZ
12,Hamilton,AL,"Hamilton, AL CZ"
13,Sand Point,AK,Sand Point-Akutan CZ
14,Unalaska,AK,Unalaska-Dutch Harbor CZ
15,Anchorage,AK,"Anchorage, AK CZ"
16,Bethel,AK,"Bethel, AK CZ"
17,Valdez,AK,"Valdez, AK CZ"
18,Fairbanks,AK,"Fairbanks, AK CZ"
19,Dillingham,AK,"Dillingham, AK CZ"
20,Haines,AK,"Haines, AK CZ"
21,Juneau,AK,"Juneau, AK CZ"
22,Ketchikan,AK,"Ketchikan, AK CZ"
23,Kodiak,AK,"Kodiak, AK CZ"
24,Hooper Bay,AK,"Hooper Bay, AK CZ"
25,NA,NA,CZ #25
26,Nome,AK,"Nome, AK CZ"
27,Kotzebue,AK,"Kotzebue, AK CZ"
28,Sitka,AK,"Sitka, AK CZ"
29,Metlakatla,AK,"Metlakatla, AK CZ"
30,NA,NA,CZ #30
31,Wrangell,AK,"Wrangell, AK CZ"
32,Gallup,NM,"Gallup, NM CZ"
33,Tucson,AZ,"Tucson, AZ CZ"
34,Flagstaff,AZ,"Flagstaff, AZ CZ"
35,Phoenix,AZ,"Phoenix, AZ CZ"
36,Deming,NM,"Deming, NM CZ"
37,Los Angeles,CA,"Los Angeles, CA CZ"
38,Yuma,AZ,"Yuma, AZ CZ"
39,Forrest City,AR,"Forrest City, AR CZ"
40,Pine Bluff,AR,"Pine Bluff, AR CZ"
41,Mountain Home,AR,"Mountain Home, AR CZ"
42,Fayetteville,AR,Fayetteville-Springdale CZ
43,Harrison,AR,"Harrison, AR CZ"
44,El Dorado,AR,"El Dorado, AR CZ"
45,Hot Springs,AR,"Hot Springs, AR CZ"
46,Jonesboro,AR,"Jonesboro, AR CZ"
47,Heber Springs,AR,"Heber Springs, AR CZ"
48,Magnolia,AR,"Magnolia, AR CZ"
49,Little Rock,AR,"Little Rock, AR CZ"
50,Fort Smith,AR,"Fort Smith, AR CZ"
51,New South Memphis,TN,New South Memphis-Memphis CZ
52,Batesville,AR,"Batesville, AR CZ"
53,Searcy,AR,"Searcy, AR CZ"
54,Russellville,AR,"Russellville, AR CZ"
55,Texarkana,TX,"Texarkana, TX CZ"
56,Blytheville,AR,"Blytheville, AR CZ"
57,Idabel,OK,Idabel-De Queen CZ
58,San Francisco,CA,"San Francisco, CA CZ"
59,San Diego,CA,"San Diego, CA CZ"
60,Stockton,CA,"Stockton, CA CZ"
61,Chico,CA,"Chico, CA CZ"
62,Sacramento,CA,"Sacramento, CA CZ"
63,Crescent City,CA,Crescent City-Brookings CZ
64,Fresno,CA,"Fresno, CA CZ"
65,Eureka,CA,"Eureka, CA CZ"
66,Bakersfield,CA,"Bakersfield, CA CZ"
67,Ukiah,CA,Ukiah-Clearlake CZ
68,Susanville,CA,"Susanville, CA CZ"
69,Klamath Falls,OR,"Klamath Falls, OR CZ"
70,San Jose,CA,"San Jose, CA CZ"
71,Santa Maria,CA,"Santa Maria, CA CZ"
72,Denver,CO,"Denver, CO CZ"
73,Alamosa,CO,"Alamosa, CO CZ"
74,Farmington,NM,"Farmington, NM CZ"
75,Lamar,CO,"Lamar, CO CZ"
76,Salida,CO,"Salida, CO CZ"
77,Ulysses,KS,"Ulysses, KS CZ"
78,Colorado Springs,CO,"Colorado Springs, CO CZ"
79,Grand Junction,CO,"Grand Junction, CO CZ"
80,Edwards,CO,Edwards-Glenwood Springs CZ
81,Laramie,WY,"Laramie, WY CZ"
82,Gunnison,CO,"Gunnison, CO CZ"
83,Trinidad,CO,"Trinidad, CO CZ"
84,Fort Collins,CO,"Fort Collins, CO CZ"
85,Sterling,CO,"Sterling, CO CZ"
86,Steamboat Springs,CO,"Steamboat Springs, CO CZ"
87,Sidney,NE,"Sidney, NE CZ"
88,Bridgeport,CT,"Bridgeport, CT CZ"
89,Dover,DE,"Dover, DE CZ"
90,Philadelphia,PA,"Philadelphia, PA CZ"
91,Washington,DC,"Washington, DC CZ"
92,Gainesville,FL,"Gainesville, FL CZ"
93,Jacksonville,FL,"Jacksonville, FL CZ"
94,Panama City,FL,"Panama City, FL CZ"
95,Port Saint Lucie,FL,"Port Saint Lucie, FL CZ"
96,Miami,FL,"Miami, FL CZ"
97,North Port,FL,"North Port, FL CZ"
98,Orlando,FL,"Orlando, FL CZ"
99,Cape Coral,FL,"Cape Coral, FL CZ"
100,East Pensacola Heights,FL,East Pensacola Heights-Pensacola CZ
101,Deltona,FL,Deltona-Palm Coast CZ
102,Carrabelle,FL,"Carrabelle, FL CZ"
103,Tallahassee,FL,"Tallahassee, FL CZ"
104,Lakeland,FL,"Lakeland, FL CZ"
105,Tampa,FL,"Tampa, FL CZ"
106,Douglas,GA,"Douglas, GA CZ"
107,Albany,GA,"Albany, GA CZ"
108,Milledgeville,GA,"Milledgeville, GA CZ"
109,Peachtree Corners,GA,Peachtree Corners-Gainesville CZ
110,Rome,GA,Rome-Dalton CZ
111,Tifton,GA,"Tifton, GA CZ"
112,Valdosta,GA,"Valdosta, GA CZ"
113,Macon,GA,"Macon, GA CZ"
114,Brunswick,GA,"Brunswick, GA CZ"
115,Savannah,GA,"Savannah, GA CZ"
116,Augusta,GA,"Augusta, GA CZ"
117,Atlanta,GA,"Atlanta, GA CZ"
118,Chattanooga,TN,"Chattanooga, TN CZ"
119,Woodstock,GA,"Woodstock, GA CZ"
120,Athens,GA,"Athens, GA CZ"
121,Dublin,GA,"Dublin, GA CZ"
122,Americus,GA,"Americus, GA CZ"
123,Waynesville,NC,"Waynesville, NC CZ"
124,Andrews,NC,Andrews-Murphy CZ
125,NA,NA,CZ #125
126,NA,NA,CZ #126
127,NA,NA,CZ #127
128,NA,NA,CZ #128
129,Boise,ID,"Boise, ID CZ"
130,McCall,ID,"McCall, ID CZ"
131,Idaho Falls,ID,Idaho Falls-Pocatello CZ
132,Conda,ID,"Conda, ID CZ"
133,Coeur d'Alene,ID,"Coeur d'Alene, ID CZ"
134,Twin Falls,ID,"Twin Falls, ID CZ"
135,Spokane,WA,"Spokane, WA CZ"
136,Burley,ID,"Burley, ID CZ"
137,Pullman,WA,Pullman-Lewiston CZ
138,Salmon,ID,"Salmon, ID CZ"
139,Logan,UT,"Logan, UT CZ"
140,Jackson,WY,"Jackson, WY CZ"
141,Quincy,IL,"Quincy, IL CZ"
142,Carbondale,IL,"Carbondale, IL CZ"
143,Upper Alton,IL,Upper Alton-Granite City CZ
144,Rockford,IL,"Rockford, IL CZ"
145,Peoria,IL,Peoria-North Peoria CZ
146,Springfield,IL,"Springfield, IL CZ"
147,Champaign,IL,Champaign-Bloomington CZ
148,Decatur,IL,"Decatur, IL CZ"
149,Terre Haute,IN,"Terre Haute, IN CZ"
150,Olney,IL,"Olney, IL CZ"
151,Mount Vernon,IL,"Mount Vernon, IL CZ"
152,Chicago,IL,"Chicago, IL CZ"
153,Vincennes,IN,"Vincennes, IN CZ"
154,Harrisburg,IL,"Harrisburg, IL CZ"
155,Burlington,IA,"Burlington, IA CZ"
156,Davenport,IA,"Davenport, IA CZ"
157,Kankakee,IL,"Kankakee, IL CZ"
158,Dubuque,IA,"Dubuque, IA CZ"
159,Paducah,KY,"Paducah, KY CZ"
160,St. Louis,MO,"St. Louis, MO CZ"
161,Lafayette,IN,"Lafayette, IN CZ"
162,Evansville,IN,"Evansville, IN CZ"
163,Fort Wayne,IN,"Fort Wayne, IN CZ"
164,Columbus,IN,"Columbus, IN CZ"
165,Muncie,IN,"Muncie, IN CZ"
166,Indianapolis,IN,"Indianapolis, IN CZ"
167,Logansport,IN,"Logansport, IN CZ"
168,Louisville,KY,"Louisville, KY CZ"
169,North Madison,IN,North Madison-Madison CZ
170,Greensburg,IN,"Greensburg, IN CZ"
171,South Bend,IN,"South Bend, IN CZ"
172,Richmond,IN,"Richmond, IN CZ"
173,Bloomington,IN,"Bloomington, IN CZ"
174,Hammond,IN,Hammond-Gary CZ
175,Des Moines,IA,"Des Moines, IA CZ"
176,Creston,IA,"Creston, IA CZ"
177,Platteville,WI,"Platteville, WI CZ"
178,Ottumwa,IA,"Ottumwa, IA CZ"
179,Denison,IA,"Denison, IA CZ"
180,Cedar Rapids,IA,"Cedar Rapids, IA CZ"
181,Waterloo,IA,"Waterloo, IA CZ"
182,Ames,IA,"Ames, IA CZ"
183,Storm Lake,IA,"Storm Lake, IA CZ"
184,Fort Dodge,IA,"Fort Dodge, IA CZ"
185,Mason City,IA,"Mason City, IA CZ"
186,Decorah,IA,"Decorah, IA CZ"
187,Osceola,IA,"Osceola, IA CZ"
188,Spencer,IA,"Spencer, IA CZ"
189,Iowa Falls,IA,"Iowa Falls, IA CZ"
190,Omaha,NE,"Omaha, NE CZ"
191,Sioux Center,IA,"Sioux Center, IA CZ"
192,Sioux City,IA,"Sioux City, IA CZ"
193,Parsons,KS,Parsons-Chanute CZ
194,Kansas City,MO,"Kansas City, MO CZ"
195,Saint Joseph,MO,"Saint Joseph, MO CZ"
196,Pratt,KS,"Pratt, KS CZ"
197,Great Bend,KS,"Great Bend, KS CZ"
198,Joplin,MO,"Joplin, MO CZ"
199,Falls City,NE,"Falls City, NE CZ"
200,Wichita,KS,"Wichita, KS CZ"
201,Emporia,KS,"Emporia, KS CZ"
202,Bartlesville,OK,"Bartlesville, OK CZ"
203,Saint Francis,KS,"Saint Francis, KS CZ"
204,Dodge City,KS,"Dodge City, KS CZ"
205,Manhattan,KS,"Manhattan, KS CZ"
206,Concordia,KS,"Concordia, KS CZ"
207,Norton,KS,"Norton, KS CZ"
208,Topeka,KS,"Topeka, KS CZ"
209,Hays,KS,"Hays, KS CZ"
210,Salina,KS,"Salina, KS CZ"
211,Garden City,KS,"Garden City, KS CZ"
212,Colby,KS,"Colby, KS CZ"
213,Goodland,KS,"Goodland, KS CZ"
214,Hutchinson,KS,"Hutchinson, KS CZ"
215,Liberal,KS,"Liberal, KS CZ"
216,Beloit,KS,"Beloit, KS CZ"
217,Scott City,KS,"Scott City, KS CZ"
218,Hugoton,KS,"Hugoton, KS CZ"
219,Bardstown,KY,"Bardstown, KY CZ"
220,Bowling Green,KY,"Bowling Green, KY CZ"
221,Lexington-Fayette,KY,"Lexington-Fayette, KY CZ"
222,Glasgow,KY,"Glasgow, KY CZ"
223,Mount Sterling,KY,Mount Sterling-Morehead CZ
224,Middlesboro,KY,"Middlesboro, KY CZ"
225,Cincinnati,OH,"Cincinnati, OH CZ"
226,Ironville,KY,Ironville-Meads CZ
227,Danville,KY,"Danville, KY CZ"
228,Maysville,KY,"Maysville, KY CZ"
229,Hazard,KY,"Hazard, KY CZ"
230,Elizabethtown,KY,"Elizabethtown, KY CZ"
231,Henderson,KY,"Henderson, KY CZ"
232,Clarksville,TN,"Clarksville, TN CZ"
233,Richmond,KY,"Richmond, KY CZ"
234,Somerset,KY,"Somerset, KY CZ"
235,Owensboro,KY,"Owensboro, KY CZ"
236,Pikeville,KY,"Pikeville, KY CZ"
237,Cumberland,KY,"Cumberland, KY CZ"
238,Lafayette,LA,"Lafayette, LA CZ"
239,Beaumont,TX,"Beaumont, TX CZ"
240,New Orleans,LA,"New Orleans, LA CZ"
241,Houma,LA,"Houma, LA CZ"
242,Alexandria,LA,"Alexandria, LA CZ"
243,Monroe,LA,"Monroe, LA CZ"
244,Shreveport,LA,"Shreveport, LA CZ"
245,Vicksburg,MS,"Vicksburg, MS CZ"
246,Baton Rouge,LA,"Baton Rouge, LA CZ"
247,Tallulah,LA,"Tallulah, LA CZ"
248,Portland,ME,"Portland, ME CZ"
249,Presque Isle,ME,"Presque Isle, ME CZ"
250,Bangor,ME,"Bangor, ME CZ"
251,Cumberland,MD,"Cumberland, MD CZ"
252,Baltimore,MD,"Baltimore, MD CZ"
253,Germantown,MD,"Germantown, MD CZ"
254,Boston,MA,"Boston, MA CZ"
255,Pittsfield,MA,"Pittsfield, MA CZ"
256,Providence,RI,"Providence, RI CZ"
257,Edgartown,MA,"Edgartown, MA CZ"
258,Springfield,MA,"Springfield, MA CZ"
259,Nantucket,MA,"Nantucket, MA CZ"
260,Alpena,MI,"Alpena, MI CZ"
261,Marquette,MI,"Marquette, MI CZ"
262,Grand Rapids,MI,"Grand Rapids, MI CZ"
263,Traverse City,MI,"Traverse City, MI CZ"
264,Saginaw,MI,"Saginaw, MI CZ"
265,Houghton,MI,"Houghton, MI CZ"
266,Kalamazoo,MI,"Kalamazoo, MI CZ"
267,Bay Harbor,MI,Bay Harbor-Petoskey CZ
268,Sault Ste. Marie,MI,"Sault Ste. Marie, MI CZ"
269,Lansing,MI,"Lansing, MI CZ"
270,Gaylord,MI,Gaylord-Houghton Lake CZ
271,Marinette,WI,"Marinette, WI CZ"
272,Detroit,MI,"Detroit, MI CZ"
273,Ironwood,MI,"Ironwood, MI CZ"
274,Jackson,MI,"Jackson, MI CZ"
275,Big Rapids,MI,Big Rapids-Cadillac CZ
276,Ludington,MI,"Ludington, MI CZ"
277,Bemidji,MN,Bemidji-Brainerd CZ
278,Minneapolis,MN,"Minneapolis, MN CZ"
279,Fargo,ND,"Fargo, ND CZ"
280,Saint Cloud,MN,"Saint Cloud, MN CZ"
281,Milbank,SD,"Milbank, SD CZ"
282,Mankato,MN,"Mankato, MN CZ"
283,Duluth,MN,"Duluth, MN CZ"
284,Willmar,MN,"Willmar, MN CZ"
285,Grand Marais,MN,"Grand Marais, MN CZ"
286,Worthington,MN,"Worthington, MN CZ"
287,Rochester,MN,"Rochester, MN CZ"
288,Fergus Falls,MN,"Fergus Falls, MN CZ"
289,La Crosse,WI,La Crosse-North La Crosse CZ
290,Grafton,ND,"Grafton, ND CZ"
291,International Falls,MN,"International Falls, MN CZ"
292,Roseau,MN,"Roseau, MN CZ"
293,Saint Michael,MN,Saint Michael-Buffalo CZ
